id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
1ijw33pq5gJgAwxYlNVfyJ,Yummy,0,208520,0,['Justin Bieber'],['1uNFoZAHBGtllmzznpCI3s'],2021-04-16,0.677,0.506,9,-6.652,0,0.0964,0.345,0.0,0.118,0.497,145.843,4
2BtoPVNkGcBHbc3ZQTthnI,Intentions - Acoustic,0,160612,0,['Justin Bieber'],['1uNFoZAHBGtllmzznpCI3s'],2021-04-16,0.715,0.411,9,-6.657,1,0.0337,0.594,0.0,0.0903,0.799,73.994,4
2XNKmNuFSHf3KUGY7mFwxF,Holy,0,212093,0,"['Justin Bieber', 'Chance the Rapper']","['1uNFoZAHBGtllmzznpCI3s', '1anyVhU62p31KFi8MEzkbf']",2021-04-16,0.673,0.704,6,-8.056,1,0.36,0.196,0.0,0.0898,0.372,86.919,4
2ekyjXWwWvM6i6BSONuStF,Love Yourself,0,232627,0,['Justin Bieber'],['1uNFoZAHBGtllmzznpCI3s'],2021-04-16,0.759,0.401,4,-8.999,1,0.259,0.86,0.0,0.299,0.576,100.126,4
4S4m00T92CPo5eM8lAKE0v,Anyone,0,190779,0,['Justin Bieber'],['1uNFoZAHBGtllmzznpCI3s'],2021-04-16,0.686,0.538,2,-8.026,1,0.0345,0.181,3.13e-06,0.113,0.584,115.884,4
4VF67gXdLeav82OJ7Mzo7K,Turn To You (Mother's Day Dedication) - Single Version,0,219973,0,['Justin Bieber'],['1uNFoZAHBGtllmzznpCI3s'],2021-04-16,0.542,0.715,4,-6.565,0,0.0313,0.244,0.0,0.0861,0.284,107.973,4
54TI5Pf1OG2sEEPebJVr88,Catching Feelings,0,234680,0,['Justin Bieber'],['1uNFoZAHBGtllmzznpCI3s'],2021-04-16,0.325,0.541,3,-6.665,1,0.0414,0.353,0.0,0.35,0.363,85.169,4
04pPqAbKKoAUCBdsM1KO6w,All Girls Are The Same,0,165820,1,['Juice WRLD'],['4MCBfE4596Uoi2O4DtmEMz'],2021-04-16,0.673,0.529,0,-7.226,1,0.306,0.0769,0.000338,0.0856,0.203,161.991,4
2FtNANPWnAOKJVkoHLmiXu,Lucid Dreams,0,239836,1,['Juice WRLD'],['4MCBfE4596Uoi2O4DtmEMz'],2021-04-16,0.511,0.566,6,-7.23,0,0.2,0.349,0.0,0.34,0.218,83.903,4
3YXVO9D8bVAhbbjHJwnWWr,Hear Me Calling,0,189977,1,['Juice WRLD'],['4MCBfE4596Uoi2O4DtmEMz'],2021-04-16,0.699,0.687,7,-3.997,0,0.106,0.308,3.63e-05,0.121,0.499,88.933,4
4WXhZdsgBd7jgRlF7iHPeP,Robbery,0,240527,1,['Juice WRLD'],['4MCBfE4596Uoi2O4DtmEMz'],2021-04-16,0.708,0.69,2,-5.181,1,0.0442,0.348,0.0,0.222,0.543,79.993,4
02Y5oRA5BuObhf9hTrQxAT,Morado,0,200667,0,['J Balvin'],['1vyhD5VmyZ7KMfW5gqLgo5'],2021-04-16,0.881,0.696,11,-3.838,0,0.0797,0.136,4.06e-05,0.0927,0.781,97.002,4
0AJpNW26w1njC6QjbHvhKF,No Es Justo,0,251267,0,"['J Balvin', 'Zion & Lennox']","['1vyhD5VmyZ7KMfW5gqLgo5', '21451j1KhjAiaYKflxBjr1']",2021-04-16,0.811,0.812,7,-4.47,1,0.0635,0.151,0.000362,0.152,0.689,87.98,4
0DzTFqNNL2RukngVlkjbKA,Azul,0,206373,0,['J Balvin'],['1vyhD5VmyZ7KMfW5gqLgo5'],2021-04-16,0.842,0.828,6,-2.495,0,0.0696,0.101,0.00179,0.0579,0.653,94.015,4
0YUqNmid2THpnasG4XE9fI,Amarillo,0,158147,0,['J Balvin'],['1vyhD5VmyZ7KMfW5gqLgo5'],2021-04-16,0.876,0.85,1,-5.75,0,0.163,0.0118,0.0067,0.111,0.962,122.666,5
0Z78LAlkfnjA99ZgvB01Eh,Yo Te Lo Dije,0,220853,0,['J Balvin'],['1vyhD5VmyZ7KMfW5gqLgo5'],2021-04-16,0.823,0.614,6,-5.809,1,0.069,0.0856,0.0,0.258,0.954,87.977,4
0blmuNLgsWwlwmwuciLqYH,Negro,0,182507,0,['J Balvin'],['1vyhD5VmyZ7KMfW5gqLgo5'],2021-04-16,0.791,0.907,0,-2.223,1,0.0884,0.0132,0.211,0.245,0.828,164.107,4
0d5OtST0sAhs4M8miyRVfB,Sin Compromiso,0,189027,0,['J Balvin'],['1vyhD5VmyZ7KMfW5gqLgo5'],2021-04-16,0.774,0.914,7,-4.739,1,0.159,0.193,0.0,0.427,0.816,98.031,4
